corredor;categoria;carrera;valor
Benjamin andres vasquez figueroa;juvenil;6,0
Benjamin andres vasquez figueroa;juvenil;13,0
Benjamin andres vasquez figueroa;juvenil;20,0
Benjamin andres vasquez figueroa;juvenil;27,0
Benjamin andres vasquez figueroa;juvenil;34,0
Benjamin andres vasquez figueroa;juvenil;41,0
Benjamin andres vasquez figueroa;juvenil;48,0
Benjamin andres vasquez figueroa;juvenil;55,0
Benjamin andres vasquez figueroa;juvenil;62,0
Benjamin andres vasquez figueroa;juvenil;69,0
Benjamin andres vasquez figueroa;juvenil;76,0
Benjamin andres vasquez figueroa;juvenil;83,0
Benjamin andres vasquez figueroa;juvenil;90,0
Benjamin andres vasquez figueroa;juvenil;97,0
Benjamin andres vasquez figueroa;juvenil;104,0
Benjamin andres vasquez figueroa;juvenil;111,0
Benjamin andres vasquez figueroa;juvenil;118,0
Benjamin andres vasquez figueroa;juvenil;125,0
Benjamin andres vasquez figueroa;juvenil;132,0
Benjamin andres vasquez figueroa;juvenil;139,0
Benjamin andres vasquez figueroa;juvenil;146,0
Benjamin andres vasquez figueroa;juvenil;153,0
Benjamin andres vasquez figueroa;juvenil;160,0
Benjamin andres vasquez figueroa;juvenil;167,0
Benjamin andres vasquez figueroa;juvenil;174,0
Benjamin andres vasquez figueroa;juvenil;181,0
Benjamin andres vasquez figueroa;juvenil;188,0
Benjamin andres vasquez figueroa;juvenil;195,0
Benjamin andres vasquez figueroa;juvenil;202,0
Benjamin andres vasquez figueroa;juvenil;209,0
Benjamin andres vasquez figueroa;juvenil;216,0
Benjamin andres vasquez figueroa;juvenil;223,0
Benjamin andres vasquez figueroa;juvenil;230,0
Benjamin andres vasquez figueroa;juvenil;237,0
Benjamin andres vasquez figueroa;juvenil;244,0
Benjamin andres vasquez figueroa;juvenil;251,0
Benjamin andres vasquez figueroa;juvenil;258,0
Benjamin andres vasquez figueroa;juvenil;265,0
Benjamin andres vasquez figueroa;juvenil;272,0
Benjamin andres vasquez figueroa;juvenil;279,0
Benjamin andres vasquez figueroa;juvenil;286,0
Benjamin andres vasquez figueroa;juvenil;293,0
Benjamin andres vasquez figueroa;juvenil;300,0
Benjamin andres vasquez figueroa;juvenil;307,0
Benjamin andres vasquez figueroa;juvenil;314,0
Benjamin andres vasquez figueroa;juvenil;321,0
Benjamin andres vasquez figueroa;juvenil;328,0
Benjamin andres vasquez figueroa;juvenil;335,0
Benjamin andres vasquez figueroa;juvenil;342,0
Benjamin andres vasquez figueroa;juvenil;349,0
Benjamin andres vasquez figueroa;juvenil;356,0
Benjamin andres vasquez figueroa;juvenil;363,0
Benjamin andres vasquez figueroa;juvenil;7,0
Benjamin andres vasquez figueroa;juvenil;14,0
Benjamin andres vasquez figueroa;juvenil;21,0
Benjamin andres vasquez figueroa;juvenil;28,0
Benjamin andres vasquez figueroa;juvenil;35,0
